gillian keegan,2
barbara keeley,1
liz kendall,1
afzal khan,1
imran ahmad khan,2
stephen kinnock,1
greg knight,2
julian knight,2
danny kruger,2
kwasi kwarteng,2
peter kyle,1
eleanor laing,2
ben lake,7
david lammy,1
john lamont,2
robert largan,2
pauline latham,2
ian lavery,1
chris law,4
andrea leadsom,2
edward leigh,2
ian levy,2
emma lewell-buck,1
andrew lewer,2
brandon lewis,2
clive lewis,1
julian lewis,2
ian liddell-grainger,2
david linden,4
tony lloyd,1
chris loder,2
mark logan,2
rebecca long-bailey,1
marco longhi,2
julia lopez,2
jack lopresti,2
jonathan lord,2
tim loughton,2
caroline lucas,5
holly lynch,1
kenny macaskill,4
craig mackinlay,2
cherilyn mackrory,2
rachel maclean,2
angus macneil,4
justin madders,1
khalid mahmood,1
shabana mahmood,1
alan mak,2
seema malhotra,1
kit malthouse,2
anthony mangnall,2
scott mann,2
julie marson,2
rachael maskell,1
chris matheson,1
theresa may,2
jerome mayhew,2
paul maynard,2
steve mccabe,1
kerry mccarthy,1
jason mccartney,2
karl mccartney,2
siobhain mcdonagh,1
andy mcdonald,1
stewart mcdonald,4
stuart mcdonald,4
john martin mcdonnell,1
pat mcfadden,1
conor mcginn,1
alison mcgovern,1
catherine mckinnell,1
anne mclaughlin,4
jim mcmahon,1
anna mcmorrin,1
john mcnally,4
stephen mcpartland,2
esther mcvey,2
ian mearns,1
mark menzies,2
johnny mercer,2
huw merriman,2
stephen metcalfe,2
ed miliband,1
robin john millar,2
maria miller,2
amanda milling,2
nigel mills,2
navendu mishra,1
andrew mitchell,2
gagan mohindra,2
carol monaghan,4
damien moore,2
robbie moore,2
layla moran,3
penny mordaunt,2
jessica morden,1
stephen morgan,1
anne marie morris,2
david morris,2
grahame morris,1
james morris,2
joy morrissey,2
wendy morton,2
kieran mullan,2
holly mumby-croft,2
david mundell,2
ian murray,1
james murray,1
sheryll murray,2
andrew murrison,2
lisa nandy,1
bob neill,2
gavin newlands,4
charlotte nichols,1
lia nici,2
john nicolson,4
caroline nokes,2
jesse norman,2
alex norris,1
neil o'brien,2
brendan o'hara,4
matthew offord,2
sarah olney,3
chi onwurah,1
guy opperman,2
abena oppong-asare,1
kate osamor,1
kate osborne,1
kirsten oswald,4
taiwo owatemi,1
sarah owen,1
neil parish,2
priti patel,2
owen paterson,2
mark pawsey,2
stephanie peacock,1
mike penning,2
matthew pennycook,1
john penrose,2
andrew percy,2
toby perkins,1
jess phillips,1
bridget phillipson,1
chris philp,2
christopher pincher,2
luke pollard,1
daniel poulter,2
rebecca pow,2
lucy powell,1
victoria prentis,2
mark pritchard,2
tom pursglove,2
jeremy quin,2
will quince,2
yasmin qureshi,1
dominic raab,2
tom randall,2
angela rayner,1
john redwood,2
steve reed,1
christina rees,1
jacob rees-mogg,2
ellie reeves,1
rachel reeves,1
jonathan reynolds,1
bell ribeiro-addy,1
nicola faye richards,2
angela joy richardson,2
marie rimmer,1
rob roberts,2
laurence robertson,2
mary robinson,2
matt rodda,1
andrew rosindell,2
douglas ross,2
lee rowley,2
dean russell,2
lloyd russell-moyle,1
david rutley,2
gary sambrook,2
liz saville-roberts,7
selaine saxby,2
paul scully,2
bob seely,2
andrew selous,2
naseem shah,1
grant shapps,2
alok sharma,2
virendra sharma,1
barry sheerman,1
alec shelbrooke,2
tommy sheppard,4
tulip siddiq,1
david simmonds,2
chris skidmore,2
andrew slaughter,1
alyn smith,4
cat smith,1
chloe smith,2
greg smith,2
henry smith,2
jeff smith,1
julian smith,2
nick smith,1
royston smith,2
karin smyth,1
alex sobel,1
amanda solloway,2
john spellar,1
ben spencer,2
mark spencer,2
alexander stafford,2
keir starmer,1
chris stephens,4
andrew stephenson,2
jo stevens,1
jane stevenson,2
john stevenson,2
bob stewart,2
iain stewart,2
jamie stone,3
gary streeter,2
wes streeting,1
mel stride,2
graham stringer,1
graham stuart,2
julian sturdy,2
zarah sultana,1
rishi sunak,2
james sunderland,2
desmond swayne,2
robert syms,2
mark tami,1
sam tarry,1
alison thewliss,4
derek thomas,2
gareth thomas,1
nick thomas-symonds,1
owen thompson,4
richard gordon thomson,4
emily thornberry,1
maggie throup,2
stephen timms,1
edward timpson,2
kelly tolhurst,2
justin tomlinson,2
michael tomlinson,2
craig tracey,2
anne-marie trevelyan,2
jon trickett,1
laura trott,2
elizabeth truss,2
thomas tugendhat,2
karl turner,1
derek twigg,1
liz twist,1
shailesh vara,2
valerie vaz,1
martin vickers,2
matt vickers,2
theresa villiers,2
christian wakeford,2
charles walker,2
robin walker,2
ben wallace,2
jamie hamilton wallis,2
david warburton,2
matt warman,2
giles watling,2
suzanne webb,2
claudia webbe,1
catherine west,1
matt western,1
helen whately,2
heather wheeler,2
alan whitehead,1
philippa whitford,4
mick whitley,1
craig whittaker,2
john whittingdale,2
nadia whittome,1
bill wiggin,2
james wild,2
craig williams,2
hywel williams,7
gavin williamson,2
munira wilson,3
beth winter,1
rosie winterton,1
pete wishart,4
mike wood,2
william wragg,2
jeremy wright,2
mohammad yasin,1
jacob young,2
nadhim zahawi,2
daniel zeichner,1
nicola sturgeon,4
alex salmond,4
nigel farage,6
sian berry,5
jonathan bartley,5
richard tice,6
ann widdecombe,6
adam price,7
dominic cummings,2
david cameron,2
tony blair,1
